variable, ALB_MP, ALB_RF, LAW_MP,default
SWOUT, MT1_SWOT_1_H_180, MT1_ATMP_1_H_200_Avg, MT_1_RHUM_1_H_200_Avg,MT_1_PAIR_1_H_200_Avg
SWIN, MT1_SWIN_1_H_180, MT1_ATMP_1_H_200_Avg, MT_1_RHUM_1_H_200_Avg,MT_1_PAIR_1_H_200_Avg
