,ALB_MS,ALB_RF,ZEG_RF,MOB_X1,MOB_X2,LAW_MS,DEM_NT,ASD_MP,ANK_PT,ZEG_MP,ZEG_PT,ILP_PT,WRW_SR,WRW_OW,ZEG_MOB
MT1_SWIN_1_H_180,x,x,x,x,x,x,x,x,,,,,x,,
MT1_PAR_1_H_180,,x,x,x,x,x,x,,,,,,x,,
