station;source;SWIN;PAR;NIR;RPR;RNR;SWOT;LWIN;LWOT;ATMP;RHUM;RAIR;RAIN;WIND;WINS;HEFL;HELF2
HWR_34_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
LDH_35_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
BLR_35_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
LDC_36_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
BLO_36_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
AMM_37_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
HWG_37_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
GOI_38_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
POH_39_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
POG_40_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
HOD_41_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
HEH_42_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
HEW_43_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
GOB_44_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
HWN_45_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
HWH_46_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
MOB_01_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
MOB_02_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
MOB_42_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
MOB_21_EC;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
CAM_21_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
ONL_22_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
WIE_41_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
PPA_42_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
LAW_06_MT;wur_db;SWIN_6_10_1_1_2;PAR_7_21_1_1_1;QNIRDN_1_1_1;PPFDR_1_1_1;QNIRUP_1_1_1;SWOUT_1_1_1;LWIN_1_1_1;LWOUT_1_1_1;TA_1_1_1;RH_1_1_1;PA_1_1_1;P_1_1_1;WD_1_1_1;WS_1_1_1;SHF_1_1_1;SHF_2_1_1
