station;source;PAR;NIR;RPR;RNR;LWOT;LWIN;SWOT;SWIN_1;SWIN_2;ATMP;RHUM;PAIR;RAIN;WIND;WINS;HEFL_1;HELF_2;SWC1;SWC3;SWC6;SWC12;TS01;TS03;TS06;TS12
BPB_31_MT;wur_db;PAR_7_21_1_1_1;NIR_7_99_1_1_1;RPAR_7_23_1_1_1;RNIR_7_99_1_1_1;LWOUT_6_15_1_1_1;LWIN_6_14_1_1_1;SWOUT_6_11_1_1_1;SWIN_6_10_1_1_1;SWIN_6_10_1_1_2;TA_2_1_1_1_1;RH_19_3_1_1_1;PA_4_2_1_1_1;P_8_18_1_1_1;WD_20_35_1_1_1;WS_16_33_1_1_1;SHF_6_37_1_1_1;;SWC_11_36_1_1_1;SWC_11_36_1_3_1;SWC_11_36_1_6_1;SWC_11_36_1_12_1;TS_2_38_1_1_1;TS_2_38_1_3_1;TS_2_38_1_6_1;TS_2_38_1_12_1
BPC_32_MT;wur_db;PAR_7_21_1_1_1;NIR_7_99_1_1_1;RPAR_7_23_1_1_1;RNIR_7_99_1_1_1;LWOUT_6_15_1_1_1;LWIN_6_14_1_1_1;SWOUT_6_11_1_1_1;SWIN_6_10_1_1_1;SWIN_6_10_1_1_2;TA_2_1_1_1_1;RH_19_3_1_1_1;PA_4_2_1_1_1;P_8_18_1_1_1;WD_20_35_1_1_1;WS_16_33_1_1_1;SHF_6_37_1_1_1;;SWC_11_36_1_1_1;SWC_11_36_1_3_1;SWC_11_36_1_6_1;SWC_11_36_1_12_1;TS_2_38_1_1_1;TS_2_38_1_3_1;TS_2_38_1_6_1;TS_2_38_1_12_1
BRO_43_MT;wur_db;PAR_7_21_1_1_1;NIR_7_99_1_1_1;RPAR_7_23_1_1_1;RNIR_7_99_1_1_1;LWOUT_6_15_1_1_1;LWIN_6_14_1_1_1;SWOUT_6_11_1_1_1;SWIN_6_10_1_1_1;SWIN_6_10_1_1_2;TA_2_1_1_1_1;RH_19_3_1_1_1;PA_4_2_1_1_1;P_8_18_1_1_1;WD_20_35_1_1_1;WS_16_33_1_1_1;;;SWC_11_36_1_1_1;SWC_11_36_1_3_1;SWC_11_36_1_6_1;SWC_11_36_1_12_1;TS_2_38_1_1_1;TS_2_38_1_3_1;TS_2_38_1_6_1;TS_2_38_1_12_1
HOH_33_MT;wur_db;PAR_7_21_1_1_1;NIR_7_99_1_1_1;RPAR_7_23_1_1_1;RNIR_7_99_1_1_1;LWOUT_6_15_1_1_1;LWIN_6_14_1_1_1;SWOUT_6_11_1_1_1;SWIN_6_10_1_1_1;SWIN_6_10_1_1_2;TA_2_1_1_1_1;RH_19_3_1_1_1;PA_4_2_1_1_1;P_8_18_1_1_1;WD_20_35_1_1_1;WS_16_33_1_1_1;SHF_6_37_1_1_1;;SWC_11_36_1_1_1;SWC_11_36_1_3_1;SWC_11_36_1_6_1;SWC_11_36_1_12_1;TS_2_38_1_1_1;TS_2_38_1_3_1;TS_2_38_1_6_1;TS_2_38_1_12_1
HWR_37_MT;wur_db;PAR_7_21_1_1_1;NIR_7_99_1_1_1;RPAR_7_23_1_1_1;RNIR_7_99_1_1_1;LWOUT_6_15_1_1_1;LWIN_6_14_1_1_1;SWOUT_6_11_1_1_1;SWIN_6_10_1_1_1;SWIN_6_10_1_1_2;TA_2_1_1_1_1;RH_19_3_1_1_1;PA_4_2_1_1_1;P_8_18_1_1_1;WD_20_35_1_1_1;WS_16_33_1_1_1;SHF_6_37_1_1_1;;SWC_11_36_1_1_1;SWC_11_36_1_3_1;SWC_11_36_1_6_1;SWC_11_36_1_12_1;TS_2_38_1_1_1;TS_2_38_1_3_1;TS_2_38_1_6_1;TS_2_38_1_12_1
BLR_36_MT;wur_db;PAR_7_21_1_1_1;NIR_7_99_1_1_1;RPAR_7_23_1_1_1;RNIR_7_99_1_1_1;LWOUT_6_15_1_1_1;LWIN_6_14_1_1_1;SWOUT_6_11_1_1_1;SWIN_6_10_1_1_1;SWIN_6_10_1_1_2;TA_2_1_1_1_1;RH_19_3_1_1_1;PA_4_2_1_1_1;P_8_18_1_1_1;WD_20_35_1_1_1;WS_16_33_1_1_1;SHF_6_37_1_1_1;;SWC_11_36_1_1_1;SWC_11_36_1_3_1;SWC_11_36_1_6_1;SWC_11_36_1_12_1;TS_2_38_1_1_1;TS_2_38_1_3_1;TS_2_38_1_6_1;TS_2_38_1_12_1
BLO_35_MT;wur_db;PAR_7_21_1_1_1;NIR_7_99_1_1_1;RPAR_7_23_1_1_1;RNIR_7_99_1_1_1;LWOUT_6_15_1_1_1;LWIN_6_14_1_1_1;SWOUT_6_11_1_1_1;SWIN_6_10_1_1_1;SWIN_6_10_1_1_2;TA_2_1_1_1_1;RH_19_3_1_1_1;PA_4_2_1_1_1;P_8_18_1_1_1;WD_20_35_1_1_1;WS_16_33_1_1_1;SHF_6_37_1_1_1;;SWC_11_36_1_1_1;SWC_11_36_1_3_1;SWC_11_36_1_6_1;SWC_11_36_1_12_1;TS_2_38_1_1_1;TS_2_38_1_3_1;TS_2_38_1_6_1;TS_2_38_1_12_1
HWG_34_MT;wur_db;PAR_7_21_1_1_1;NIR_7_99_1_1_1;RPAR_7_23_1_1_1;RNIR_7_99_1_1_1;LWOUT_6_15_1_1_1;LWIN_6_14_1_1_1;SWOUT_6_11_1_1_1;SWIN_6_10_1_1_1;SWIN_6_10_1_1_2;TA_2_1_1_1_1;RH_19_3_1_1_1;PA_4_2_1_1_1;P_8_18_1_1_1;WD_20_35_1_1_1;WS_16_33_1_1_1;SHF_6_37_1_1_1;;SWC_11_36_1_1_1;SWC_11_36_1_3_1;SWC_11_36_1_6_1;SWC_11_36_1_12_1;TS_2_38_1_1_1;TS_2_38_1_3_1;TS_2_38_1_6_1;TS_2_38_1_12_1
GOI_38_MT;wur_db;PAR_7_21_1_1_1;NIR_7_99_1_1_1;RPAR_7_23_1_1_1;RNIR_7_99_1_1_1;LWOUT_6_15_1_1_1;LWIN_6_14_1_1_1;SWOUT_6_11_1_1_1;SWIN_6_10_1_1_1;SWIN_6_10_1_1_2;TA_2_1_1_1_1;RH_19_3_1_1_1;PA_4_2_1_1_1;P_8_18_1_1_1;WD_20_35_1_1_1;WS_16_33_1_1_1;SHF_6_37_1_1_1;;SWC_11_36_1_1_1;SWC_11_36_1_3_1;SWC_11_36_1_6_1;SWC_11_36_1_12_1;TS_2_38_1_1_1;TS_2_38_1_3_1;TS_2_38_1_6_1;TS_2_38_1_12_1
POH_39_MT;wur_db;PAR_7_21_1_1_1;NIR_7_99_1_1_1;RPAR_7_23_1_1_1;RNIR_7_99_1_1_1;LWOUT_6_15_1_1_1;LWIN_6_14_1_1_1;SWOUT_6_11_1_1_1;SWIN_6_10_1_1_1;SWIN_6_10_1_1_2;TA_2_1_1_1_1;RH_19_3_1_1_1;PA_4_2_1_1_1;P_8_18_1_1_1;WD_20_35_1_1_1;WS_16_33_1_1_1;SHF_6_37_1_1_1;;SWC_11_36_1_1_1;SWC_11_36_1_3_1;SWC_11_36_1_6_1;SWC_11_36_1_12_1;TS_2_38_1_1_1;TS_2_38_1_3_1;TS_2_38_1_6_1;TS_2_38_1_12_1
